Video;GRUPO;FREQ;DUR_TOTAL;DUR_AVG;NO_OBJ_1_FREQ;NO_OBJ_1_DUR;NO_OBJ_2_FREQ;NO_OBJ_2_DUR;NO_OBJ_3_FREQ;NO_OBJ_3_DUR;NO_OBJ_4_FREQ;NO_OBJ_4_DUR;OBJ_1_FREQ;OBJ_1_DUR;OBJ_2_FREQ;OBJ_2_DUR;OBJ_3_FREQ;OBJ_3_DUR;OBJ_4_FREQ;OBJ_4_DUR;NO_OBJ_DUR_AVG;NO_OBJ_FREQ_AVG;OBJ_DUR_AVG;OBJ_FREQ_AVG;filter_$
R0G68S1;1;21;9,13333333333336;,434920634920636;2;,566666666666667;1;,333333333333333;6;3,00000000000001;2;1,63333333333333;3;1,16666666666667;1;,133333333333333;1;,0666666666666666;8;2,00000000000001;1,38333333333334;2,75;,84166666666667;3,25;0
R1G42S1;0;29;59,5;2,05172413793103;2;1,73333333333336;1;,333333333333333;0;0;2;,833333333333359;9;11,7666666666666;3;3,43333333333333;8;14,0333333333333;10;27,1666666666666;,725000000000013;1,25;14,1;7,5;1
R1G43S1;1;16;28,5333333333334;1,78333333333334;1;,833333333333371;0;0;4;4,36666666666667;1;,7;6;6,29999999999999;1;,666666666666667;3;6,1;4;9,56666666666668;1,47500000000001;1,5;5,65833333333333;3,5;0
R1G45S1;1;42;30,7666666666667;,732539682539683;10;8,03333333333335;8;5,8333333333333;6;2,03333333333333;2;1,56666666666667;7;4,96666666666662;7;2,8;10;3,20000000000003;5;2,00000000000001;4,36666666666666;6,5;3,24166666666667;7,25;0
R1G65S1;0;24;34,5333333333333;1,43888888888889;1;,600000000000001;2;1,96666666666667;1;1,36666666666667;3;1,73333333333333;6;9,26666666666666;7;13,1666666666667;2;2,09999999999998;5;3,96666666666669;1,41666666666667;1,75;7,125;5;1
R2G45S1;0;20;32,2;1,61;3;3,83333333333332;8;6,1;3;1,36666666666668;1;,666666666666667;5;4,03333333333334;4;4,9;4;5,13333333333332;4;6,23333333333333;2,99166666666667;3,75;5,075;4,25;1
R2G65S1;0;34;48,8666666666666;1,43725490196078;10;10,4;6;15,6333333333333;3;4,33333333333336;5;2,26666666666668;6;1,8666666666667;5;3;8;7,50000000000011;4;3,86666666666667;8,15833333333333;6;4,05833333333337;5,75;1
R2G67S1;1;48;27,5666666666668;,574305555555558;3;2,06666666666671;3;1,56666666666665;4;2,5;11;6,2666666666667;7;2,73333333333334;9;3,46666666666672;9;1,86666666666667;13;7,13333333333332;3,10000000000002;5,25;3,80000000000001;9,5;0
R3G0S1;0;12;17,4666666666667;1,45555555555556;1;1,53333333333333;0;0;1;2,2;3;2,46666666666667;2;3,73333333333333;0;0;1;3,33333333333334;6;4,2;1,55;1,25;2,81666666666667;2,25;1
R3G45S1;1;16;8,46666666666661;,529166666666663;0;0;0;0;10;4,63333333333329;4;2,66666666666664;2;,633333333333335;2;,233333333333333;0;0;2;,2;1,82499999999998;3,5;,266666666666667;1,5;0
R3G64S1;0;22;17;,772727272727272;3;1;0;0;5;1,83333333333332;1;,0333333333333333;4;2,00000000000004;4;3,40000000000002;6;6,5;4;2,26666666666666;,716666666666662;2,25;3,54166666666668;4,5;1
R3G65S1;1;14;10,2333333333334;,730952380952382;6;4,46666666666663;5;1,53333333333333;1;1,4;2;1,2;1;,0666666666666666;1;1,3;0;0;2;,699999999999947;2,14999999999999;3,5;,516666666666653;1;0
R3G66S1;0;32;22,7333333333334;,710416666666668;2;2,06666666666667;3;1,9;4;3,43333333333329;6;3,50000000000006;2;1,2333333333333;3;2,6;9;3,39999999999999;9;4,76666666666676;2,725;3,75;3,00000000000001;5,75;1
R3G67S1;0;38;21,9999999999999;,578947368421051;16;7,66666666666657;5;3,7666666666667;2;2,39999999999999;4;1,73333333333334;10;2,56666666666667;1;,133333333333333;4;1,6;4;2,19999999999999;3,89166666666665;6,75;1,625;4,75;1
R3G68S1;0;46;56,9000000000002;1,23695652173913;20;21,2666666666667;12;8,63333333333336;9;7,93333333333333;8;7,56666666666668;7;4,70000000000002;8;2,83333333333334;2;1,00000000000001;6;3,49999999999993;11,35;12,25;3,00833333333333;5,75;1
R4G64S1;0;56;67,3333333333334;1,20238095238095;6;6,43333333333335;9;10,9666666666667;12;12;14;12,0333333333334;6;5,9;12;6,43333333333332;7;7,96666666666668;12;4,93333333333333;10,3583333333334;10,25;6,30833333333333;9,25;1
R4G65S1;1;22;12,1666666666666;,553030303030302;5;1,86666666666669;4;3,63333333333333;2;,533333333333332;4;1,60000000000002;4;2,09999999999993;3;1,03333333333333;0;0;2;1,33333333333334;1,90833333333334;3,75;1,11666666666665;2,25;0
R4G66S1;0;45;40,7;,904444444444444;16;14,7000000000001;11;7,46666666666667;8;3,93333333333333;6;3,96666666666663;11;9,70000000000004;1;,233333333333333;2;,6;1;,133333333333333;7,51666666666667;10,25;2,66666666666668;3,75;1
