ANIMAL;GRUPO;FREQ;DUR;DUR_AVG;FORMER_1_FREQ;FORMER_1_DUR;FORMER_2_FREQ;FORMER_2_DUR;NEVER_1_FREQ;NEVER_1_DUR;NEVER_2_FREQ;NEVER_2_DUR;NOVEL_1_FREQ;NOVEL_1_DUR;NOVEL_2_FREQ;NOVEL_2_DUR;SAME_1_FREQ;SAME_1_DUR;SAME_2_FREQ;SAME_2_DUR;FORMER_AVG_FREQ;NOVEL_AVG_FREQ;NEVER_AVG_FREQ;SAME_AVG_FREQ;FORMER_AVG_DUR;NOVEL_AVG_DUR;NEVER_AVG_DUR;SAME_AVG_DUR;filter_$
R0G68S2;1;32;25,4999999999999;,796874999999997;6;3,93333333333331;5;3,36666666666667;15;13,5333333333333;3;,7;4;2,46666666666666;1;,533333333333331;0;0;3;,633333333333337;5,5;2,5;9;1,5;3,64999999999999;1,5;7,11666666666663;,316666666666669;1
R1G42S2;0;10;19,0333333333333;1,90333333333333;0;0;1;1,36666666666667;2;3,46666666666667;0;0;1;1,36666666666667;2;2,60000000000001;2;4,16666666666666;4;6,13333333333331;,5;1,5;1;3;,683333333333333;1,98333333333334;1,73333333333333;5,14999999999999;0
R1G43S2;1;2;5,4;2,7;0;0;2;2,9;0;0;0;0;1;,0666666666666666;1;2,43333333333333;0;0;0;0;1;1;0;0;1,45;1,25;0;0;1
R1G45S2;1;12;6,53333333333332;,544444444444444;3;2,06666666666667;2;1,53333333333334;1;,0666666666666666;5;1,49999999999999;3;,633333333333333;0;0;0;0;2;,666666666666661;2,5;1,5;3;1;1,8;,316666666666667;,783333333333329;,33333333333333;1
R1G65S2;0;21;9,50000000000007;,452380952380956;0;0;2;,133333333333328;0;0;4;4,3;5;1,9666666666667;1;,6;6;1,26666666666671;4;1,23333333333333;1;3;2;5;,0666666666666638;1,28333333333335;2,15;1,25000000000002;0
R2G39S2;0;2;,0999999999999999;,0499999999999999;0;0;0;0;0;0;0;0;0;0;1;,0666666666666666;0;0;1;,0333333333333333;0;,5;0;,5;0;,0333333333333333;0;,0166666666666666;0
R2G45S2;0;12;6,73333333333338;,561111111111115;1;1,03333333333335;0;0;0;0;8;3,53333333333335;1;,699999999999989;0;0;1;1,10000000000002;1;,233333333333334;,5;,5;4;1;,516666666666673;,349999999999994;1,76666666666667;,666666666666679;0
R2G65S2;0;38;35,6333333333334;,937719298245616;7;5,46666666666666;8;5,56666666666667;10;7,36666666666671;1;1,86666666666667;8;3,06666666666669;1;,200000000000003;10;10,9;4;1,23333333333333;7,5;4,5;5,5;7;5,51666666666667;1,63333333333334;4,61666666666669;6,06666666666666;0
R2G67S2;1;20;17,0666666666666;,853333333333331;2;,266666666666655;1;,833333333333333;1;1,53333333333333;5;6,46666666666664;2;1,56666666666667;4;2,13333333333333;3;2,4;2;1,86666666666667;1,5;3;3;2,5;,549999999999994;1,85;3,99999999999998;2,13333333333333;1
R3G0S2;0;23;9,60000000000005;,417391304347828;0;0;0;0;0;0;2;,266666666666667;2;,266666666666667;1;,0666666666666666;4;,866666666666679;15;8,13333333333338;0;1,5;1;9,5;0;,166666666666667;,133333333333333;4,50000000000003;0
R3G45S2;1;3;,6;,2;0;0;0;0;0;0;0;0;0;0;0;0;1;,5;2;,0999999999999999;0;0;0;1,5;0;0;0;,3;1
R3G64S2;0;5;3,36666666666666;,673333333333332;1;,166666666666667;1;1,03333333333332;2;,633333333333333;1;1,36666666666666;0;0;0;0;0;0;1;,1;1;0;1,5;,5;,599999999999995;0;,999999999999997;,05;0
R3G65S2;1;7;5,19999999999999;,742857142857141;0;0;0;0;1;,233333333333334;2;2,36666666666665;0;0;1;1,5;2;,666666666666667;2;,366666666666667;0;,5;1,5;2;0;,75;1,29999999999999;,516666666666667;1
R3G66S2;0;22;14,3666666666667;,653030303030307;1;,966666666666669;3;1,39999999999999;2;4,13333333333328;6;5,46666666666668;2;,833333333333346;8;1,26666666666669;4;,333333333333333;0;0;2;5;4;2;1,18333333333333;1,05000000000002;4,79999999999998;,166666666666667;0
R3G67S2;0;45;34,8666666666667;,774814814814815;6;5,9;3;,933333333333328;6;2,43333333333329;6;2,79999999999999;5;1,66666666666669;11;5,53333333333336;5;4,30000000000001;15;11,3666666666667;4,5;8;6;10;3,41666666666666;3,60000000000003;2,61666666666664;7,83333333333336;0
R3G68S2;0;57;58,4666666666667;1,02573099415205;19;12,1;5;2,09999999999998;10;12,8333333333333;8;6,30000000000002;11;5,09999999999998;7;4,33333333333335;7;6,63333333333329;10;9,23333333333333;12;9;9;8,5;7,09999999999999;4,71666666666667;9,56666666666668;7,93333333333331;0
R4G64S2;0;51;53,1333333333332;1,04183006535947;9;7,33333333333338;5;3,96666666666667;5;6,3666666666667;11;9,23333333333329;13;10,4;18;8,1666666666667;4;3,06666666666666;7;4,36666666666662;7;15,5;8;5,5;5,65000000000002;9,28333333333333;7,79999999999999;3,71666666666664;0
R4G65S2;1;27;11,0333333333333;,408641975308642;0;0;4;2,13333333333331;21;7,06666666666669;1;,0666666666666666;2;,3;2;,5;2;,633333333333335;0;0;2;2;11;1;1,06666666666666;,4;3,56666666666668;,316666666666668;1
R4G66S2;0;14;21,5;1,53571428571429;3;3,66666666666668;5;5,7333333333333;1;,666666666666667;3;6,1;2;,800000000000003;1;,5;2;,633333333333333;5;3,53333333333332;4;1,5;2;3,5;4,69999999999999;,650000000000001;3,38333333333333;2,08333333333333;0
