Video;GRUPO;FREQ_MIN_1;DUR_MIN_1;FREQ_MIN_3;DUR_MIN_3
R0G68S2;1;9;5,56666666666667;29;23,8333333333333
R1G42S2;0;3;6,16666666666667;8;16,4333333333333
R1G43S2;1;2;5,40000000000001;2;5,40000000000001
R1G45S2;1;2;,900000000000006;11;5,90000000000002
R1G65S2;0;5;1,03333333333333;16;6,46666666666668
R2G39S2;0;1;,0333333333333314;1;,0333333333333314
R2G45S2;0;4;2,03333333333335;9;3,66666666666672
R2G65S2;0;8;6,5;27;20,6
R2G67S2;1;8;4,43333333333334;17;14,6666666666667
R3G0S2;0;3;,333333333333336;13;4,43333333333332
R3G45S2;1;0;0;0;0
R3G64S2;0;1;1,03333333333332;5;3,36666666666664
R3G65S2;1;3;1,86666666666667;7;5,19999999999998
R3G66S2;0;3;2,63333333333333;13;7,66666666666664
R3G67S2;0;10;4,03333333333335;32;25,4666666666666
R3G68S2;0;7;4,83333333333333;28;25,1
R4G64S2;0;5;5,03333333333333;28;22,1333333333333
R4G65S2;1;4;2,53333333333333;15;6,9
R4G66S2;0;3;3,36666666666667;9;9,56666666666666
