Video;GRUPO;FREQ_S1;DUR_S1;DUR_AVG_S1;FREQ_S2;DUR_S2;DUR_AVG_S2;FREQ_T;DUR_T;DUR_AVG_T
R0G68S1;1;21;9,13333333333336;,434920634920636;32;25,4999999999999;,796874999999997;15;6,86666666666666;,457777777777777
R1G42S1;0;29;59,5;2,05172413793103;10;19,0333333333333;1,90333333333333;2;,766666666666691;,383333333333346
R1G65S1;0;24;34,5333333333333;1,43888888888889;21;9,50000000000007;,452380952380956;13;2,63333333333335;,202564102564104
R2G45S1;0;20;32,2;1,61;12;6,73333333333338;,561111111111115;15;4,03333333333332;,268888888888888
R2G65S1;0;34;48,8666666666666;1,43725490196078;38;35,6333333333334;,937719298245616;28;11,4666666666668;,409523809523814
R2G67S1;1;48;27,5666666666668;,574305555555558;20;17,0666666666666;,853333333333331;7;1,46666666666665;,209523809523807
R3G0S1;0;12;17,4666666666667;1,45555555555556;23;9,60000000000005;,417391304347828;4;2,23333333333335;,558333333333338
R3G64S1;0;22;17;,772727272727272;5;3,36666666666666;,673333333333332;6;2,29999999999995;,383333333333326
R3G65S1;1;14;10,2333333333334;,730952380952382;7;5,19999999999999;,742857142857141;2;,4;,2
R3G66S1;0;32;22,7333333333334;,710416666666668;22;14,3666666666667;,653030303030307;9;4,03333333333339;,448148148148154
R3G67S1;0;38;21,9999999999999;,578947368421051;45;34,8666666666667;,774814814814815;33;11,5666666666666;,350505050505049
R3G68S1;0;46;56,9000000000002;1,23695652173913;57;58,4666666666667;1,02573099415205;41;22,8666666666665;,557723577235769
R4G64S1;0;56;67,3333333333334;1,20238095238095;51;53,1333333333332;1,04183006535947;35;18,7666666666668;,536190476190479
R4G65S1;1;22;12,1666666666666;,553030303030302;27;11,0333333333333;,408641975308642;3;,566666666666682;,188888888888894
R4G66S1;0;45;40,7;,904444444444444;14;21,5;1,53571428571429;11;3,53333333333333;,321212121212121
