name,group,session
R0G39S1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina,s1
R0G39S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina,s2
R0G39TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina,t
R0G68S1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol,s1
R0G68S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol,s2
R0G68TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol,t
R1G42S1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina,s1
R1G42S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina,s2
R1G42TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina,t
R1G43S1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol,s1
R1G43S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol,s2
R1G43TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol,t
R1G45S1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol,s1
R1G45S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol,s2
R1G45TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol,t
R1G65S1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina,s1
R1G65S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina,s2
R1G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina,t
R1G68S1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol,s1
R1G68S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol,s2
R1G68TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol,t
R2G0S1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol,s1
R2G0S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol,s2
R2G0TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,muscimol,t
R2G39S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina,s2
R2G39TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina,t
R2G45S1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina,s1
R2G45S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina,s2
R2G45TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina,t
R2G65S1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,salina,s1
