,Video,Shape_type,Name,Color name,Color BGR,Thickness,Center_X,Center_Y,vertices,center,area,max_vertice_distance,area_cm,Tags,Ear_tag_size
0,R4G66S2,polygon,SAME_1,Yellow,"(0, 255, 255)",2,193,321,"[[286 231]
 [226 451]
 [ 91 321]]",[201 334],18750.0,118,3078.33,"{'Center_tag': (201, 334), 'Tag_0': (286, 231), 'Tag_1': (226, 451), 'Tag_2': (91, 321)}",5
1,R4G66S2,polygon,SAME_2,Yellow,"(0, 255, 255)",2,299,84,"[[290 232]
 [ 97 137]
 [247  30]]",[211 133],17450.5,118,3078.33,"{'Center_tag': (211, 133), 'Tag_0': (290, 232), 'Tag_1': (97, 137), 'Tag_2': (247, 30)}",5
2,R4G66S2,polygon,NEVER_1,Cyan,"(255, 255, 102)",2,294,92,"[[290 233]
 [247  29]
 [383  42]]",[306 101],13592.5,118,3078.33,"{'Center_tag': (306, 101), 'Tag_0': (290, 233), 'Tag_1': (247, 29), 'Tag_2': (383, 42)}",5
3,R4G66S2,polygon,NEVER_2,Cyan,"(255, 255, 102)",2,289,363,"[[288 232]
 [380 444]
 [223 455]]",[297 377],17148.0,118,3078.33,"{'Center_tag': (297, 377), 'Tag_0': (288, 232), 'Tag_1': (380, 444), 'Tag_2': (223, 455)}",5
4,R4G66S2,polygon,NOVEL_1,Green,"(0, 128, 0)",2,388,133,"[[287 233]
 [384  43]
 [493 180]]",[388 152],16999.5,118,3078.33,"{'Center_tag': (388, 152), 'Tag_0': (287, 233), 'Tag_1': (384, 43), 'Tag_2': (493, 180)}",5
5,R4G66S2,polygon,NOVEL_2,Green,"(0, 128, 0)",2,382,318,"[[288 231]
 [498 314]
 [378 439]]",[388 328],18105.0,118,3078.33,"{'Center_tag': (388, 328), 'Tag_0': (288, 231), 'Tag_1': (498, 314), 'Tag_2': (378, 439)}",5
6,R4G66S2,polygon,FORMER_1,Red,"(0, 0, 255)",2,424,225,"[[290 232]
 [493 179]
 [498 312]]",[427 241],13632.0,118,3078.33,"{'Center_tag': (427, 241), 'Tag_0': (290, 232), 'Tag_1': (493, 179), 'Tag_2': (498, 312)}",5
7,R4G66S2,polygon,FORMER_2,Red,"(0, 0, 255)",2,153,228,"[[285 230]
 [ 91 320]
 [ 91 135]]",[155 228],17945.0,118,3078.33,"{'Center_tag': (155, 228), 'Tag_0': (285, 230), 'Tag_1': (91, 320), 'Tag_2': (91, 135)}",5
8,R1G65S2,polygon,SAME_1,Yellow,"(0, 255, 255)",2,428,248,"[[294 255]
 [498 177]
 [492 327]]",[428 253],15066.0,118,3078.33,"{'Center_tag': (428, 253), 'Tag_0': (294, 255), 'Tag_1': (498, 177), 'Tag_2': (492, 327)}",5
9,R1G65S2,polygon,SAME_2,Yellow,"(0, 255, 255)",2,145,245,"[[292 254]
 [ 79 330]
 [ 82 152]]",[151 245],18843.0,118,3078.33,"{'Center_tag': (151, 245), 'Tag_0': (292, 254), 'Tag_1': (79, 330), 'Tag_2': (82, 152)}",5
10,R1G65S2,polygon,NEVER_1,Cyan,"(255, 255, 102)",2,397,155,"[[296 255]
 [386  52]
 [500 177]]",[394 161],17196.0,118,3078.33,"{'Center_tag': (394, 161), 'Tag_0': (296, 255), 'Tag_1': (386, 52), 'Tag_2': (500, 177)}",5
11,R1G65S2,polygon,NEVER_2,Cyan,"(255, 255, 102)",2,200,141,"[[295 255]
 [ 84 151]
 [215  44]]",[198 150],18100.5,118,3078.33,"{'Center_tag': (198, 150), 'Tag_0': (295, 255), 'Tag_1': (84, 151), 'Tag_2': (215, 44)}",5
12,R1G65S2,polygon,NOVEL_1,Red,"(0, 0, 255)",2,386,342,"[[292 255]
 [494 330]
 [369 476]]",[385 353],19433.5,118,3078.33,"{'Center_tag': (385, 353), 'Tag_0': (292, 255), 'Tag_1': (494, 330), 'Tag_2': (369, 476)}",5
13,R1G65S2,polygon,NOVEL_2,Red,"(0, 0, 255)",2,185,348,"[[291 256]
 [203 466]
 [ 77 332]]",[190 351],19126.0,118,3078.33,"{'Center_tag': (190, 351), 'Tag_0': (291, 256), 'Tag_1': (203, 466), 'Tag_2': (77, 332)}",5
14,R1G65S2,polygon,FORMER_1,Green,"(0, 128, 0)",2,299,115,"[[295 256]
 [214  44]
 [387  52]]",[298 117],18014.0,118,3078.33,"{'Center_tag': (298, 117), 'Tag_0': (295, 256), 'Tag_1': (214, 44), 'Tag_2': (387, 52)}",5
15,R1G65S2,polygon,FORMER_2,Green,"(0, 128, 0)",2,280,388,"[[292 258]
 [368 477]
 [202 469]]",[287 401],17873.0,118,3078.33,"{'Center_tag': (287, 401), 'Tag_0': (292, 258), 'Tag_1': (368, 477), 'Tag_2': (202, 469)}",5
16,R1G42S2,polygon,SAME_1,Yellow,"(0, 255, 255)",2,153,348,"[[314 220]
 [223 400]
 [114 256]]",[217 292],16362.0,118,3078.33,"{'Center_tag': (217, 292), 'Tag_0': (314, 220), 'Tag_1': (223, 400), 'Tag_2': (114, 256)}",5
17,R1G42S2,polygon,SAME_2,Yellow,"(0, 255, 255)",2,299,84,"[[314 216]
 [126 111]
 [271   2]]",[237 109],17858.5,118,3078.33,"{'Center_tag': (237, 109), 'Tag_0': (314, 216), 'Tag_1': (126, 111), 'Tag_2': (271, 2)}",5
18,R1G42S2,polygon,NEVER_1,Cyan,"(255, 255, 102)",2,310,36,"[[315 216]
 [271   1]
 [417  12]]",[334  76],15453.0,118,3078.33,"{'Center_tag': (334, 76), 'Tag_0': (315, 216), 'Tag_1': (271, 1), 'Tag_2': (417, 12)}",5
19,R1G42S2,polygon,NEVER_2,Cyan,"(255, 255, 102)",2,353,346,"[[315 221]
 [398 420]
 [219 404]]",[310 348],17146.5,118,3078.33,"{'Center_tag': (310, 348), 'Tag_0': (315, 221), 'Tag_1': (398, 420), 'Tag_2': (219, 404)}",5
20,R1G42S2,polygon,NOVEL_1,Green,"(0, 128, 0)",2,415,112,"[[315 218]
 [416  12]
 [522 130]]",[417 120],16877.0,118,3078.33,"{'Center_tag': (417, 120), 'Tag_0': (315, 218), 'Tag_1': (416, 12), 'Tag_2': (522, 130)}",5
21,R1G42S2,polygon,NOVEL_2,Green,"(0, 128, 0)",2,450,352,"[[315 221]
 [515 279]
 [400 418]]",[410 306],17235.0,118,3078.33,"{'Center_tag': (410, 306), 'Tag_0': (315, 221), 'Tag_1': (515, 279), 'Tag_2': (400, 418)}",5
22,R1G42S2,polygon,FORMER_1,Red,"(0, 0, 255)",2,519,236,"[[315 219]
 [521 131]
 [519 282]]",[451 210],15465.0,118,3078.33,"{'Center_tag': (451, 210), 'Tag_0': (315, 219), 'Tag_1': (521, 131), 'Tag_2': (519, 282)}",5
23,R1G42S2,polygon,FORMER_2,Red,"(0, 0, 255)",2,113,201,"[[315 217]
 [114 257]
 [120 111]]",[183 195],14553.0,118,3078.33,"{'Center_tag': (183, 195), 'Tag_0': (315, 217), 'Tag_1': (114, 257), 'Tag_2': (120, 111)}",5
24,R3G66S2,polygon,FORMER_1,Green,"(0, 128, 0)",2,299,110,"[[295 251]
 [220  32]
 [390  41]]",[301 108],18277.5,118,3078.33,"{'Center_tag': (301, 108), 'Tag_0': (295, 251), 'Tag_1': (220, 32), 'Tag_2': (390, 41)}",5
25,R3G66S2,polygon,FORMER_2,Green,"(0, 128, 0)",2,292,386,"[[291 255]
 [374 454]
 [211 451]]","(292, 386)",16094.0,118,3078.33,"{'Center_tag': (292, 386), 'Tag_0': (291, 255), 'Tag_1': (374, 454), 'Tag_2': (211, 451)}",5
26,R3G66S2,polygon,SAME_1,Yellow,"(0, 255, 255)",2,386,342,"[[292 255]
 [489 320]
 [374 456]]",[385 343],17133.5,118,3078.33,"{'Center_tag': (385, 343), 'Tag_0': (292, 255), 'Tag_1': (489, 320), 'Tag_2': (374, 456)}",5
27,R3G66S2,polygon,SAME_2,Yellow,"(0, 255, 255)",2,178,120,"[[292 250]
 [ 98 143]
 [220  34]]",[203 142],17100.0,118,3078.33,"{'Center_tag': (203, 142), 'Tag_0': (292, 250), 'Tag_1': (98, 143), 'Tag_2': (220, 34)}",5
28,R3G66S2,polygon,NEVER_1,Cyan,"(255, 255, 102)",2,427,247,"[[293 254]
 [499 166]
 [491 321]]","(427, 247)",15613.0,118,3078.33,"{'Center_tag': (427, 247), 'Tag_0': (293, 254), 'Tag_1': (499, 166), 'Tag_2': (491, 321)}",5
29,R3G66S2,polygon,NEVER_2,Cyan,"(255, 255, 102)",2,158,249,"[[290 251]
 [ 84 323]
 [ 93 142]]",[155 238],18319.0,118,3078.33,"{'Center_tag': (155, 238), 'Tag_0': (290, 251), 'Tag_1': (84, 323), 'Tag_2': (93, 142)}",5
30,R3G66S2,polygon,NOVEL_1,Red,"(0, 0, 255)",2,393,154,"[[292 254]
 [388  42]
 [499 166]]","(393, 154)",17718.0,118,3078.33,"{'Center_tag': (393, 154), 'Tag_0': (292, 254), 'Tag_1': (388, 42), 'Tag_2': (499, 166)}",5
