,Video,Shape_type,Name,Color name,Color BGR,Thickness,Center_X,Center_Y,vertices,center,area,max_vertice_distance,area_cm,Tags,Ear_tag_size
0,R4G67T,polygon,A2,Red,"(0, 0, 255)",2,390,353,"[[359 478]
 [496 340]
 [292 249]]",[382 355],20309.5,235,47547.75,"{'Tag_0': (359, 478), 'Tag_1': (496, 340), 'Tag_2': (292, 249), 'Center_tag': (382, 355)}",5
1,R4G67T,polygon,B1,Red,"(0, 0, 255)",2,394,150,"[[381  41]
 [500 163]
 [303 247]
 [298 248]]",[392 151],17491.0,226,54940.37,"{'Tag_0': (381, 41), 'Tag_1': (500, 163), 'Tag_2': (303, 247), 'Tag_3': (298, 248), 'Center_tag': (392, 151)}",5
2,R4G67T,polygon,B2,Red,"(0, 0, 255)",2,147,241,"[[ 64 355]
 [ 75 129]
 [297 247]]",[145 243],25735.0,233,47607.52,"{'Tag_0': (64, 355), 'Tag_1': (75, 129), 'Tag_2': (297, 247), 'Center_tag': (145, 243)}",5
3,R4G67T,polygon,NEVER_1,Red,"(0, 0, 255)",2,300,83,"[[262  11]
 [383  39]
 [296 252]]",[313 100],14104.5,222,53250.25,"{'Tag_0': (262, 11), 'Tag_1': (383, 39), 'Tag_2': (296, 252), 'Center_tag': (313, 100)}",5
4,R4G67T,polygon,NEVER_2,Red,"(0, 0, 255)",2,435,249,"[[500 163]
 [498 341]
 [295 251]]",[431 251],18157.0,230,49063.03,"{'Tag_0': (500, 163), 'Tag_1': (498, 341), 'Tag_2': (295, 251), 'Center_tag': (431, 251)}",5
5,R4G67T,polygon,NEVER_3,Red,"(0, 0, 255)",2,331,400,"[[205 476]
 [355 479]
 [295 249]
 [295 249]]",[285 401],17160.0,247,73395.8,"{'Tag_0': (205, 476), 'Tag_1': (355, 479), 'Tag_2': (295, 249), 'Tag_3': (295, 249), 'Center_tag': (285, 401)}",5
6,R4G67T,polygon,FORMER,Red,"(0, 0, 255)",2,193,357,"[[205 478]
 [ 64 355]
 [297 247]]",[188 360],21943.5,238,63396.99,"{'Tag_0': (205, 478), 'Tag_1': (64, 355), 'Tag_2': (297, 247), 'Center_tag': (188, 360)}",5
7,R4G67T,polygon,A1,Red,"(0, 0, 255)",2,207,132,"[[262   7]
 [ 91 141]
 [294 247]
 [293 244]]",[215 131],22592.0,226,52633.07,"{'Tag_0': (262, 7), 'Tag_1': (91, 141), 'Tag_2': (294, 247), 'Tag_3': (293, 244), 'Center_tag': (215, 131)}",5
8,R4G66T,polygon,A2,Red,"(0, 0, 255)",2,426,305,"[[368 462]
 [490 360]
 [309 237]]",[389 353],16734.0,235,47547.75,"{'Tag_0': (368, 462), 'Tag_1': (490, 360), 'Tag_2': (309, 237), 'Center_tag': (389, 353)}",5
9,R4G66T,polygon,B1,Red,"(0, 0, 255)",2,398,141,"[[375  30]
 [511 166]
 [307 238]
 [305 239]]",[397 144],18942.0,226,54940.37,"{'Tag_0': (375, 30), 'Tag_1': (511, 166), 'Tag_2': (307, 238), 'Tag_3': (305, 239), 'Center_tag': (397, 144)}",5
