session,video,group,total_frames,time_A1,percentage_A1,time_A2,percentage_A2,time_B1,percentage_B1,time_B2,percentage_B2,time_FORMER,percentage_FORMER,time_NEVER_1,percentage_NEVER_1,time_NEVER_2,percentage_NEVER_2,time_NEVER_3,percentage_NEVER_3,time_OBJ_1,percentage_OBJ_1,time_OBJ_2,percentage_OBJ_2,time_OBJ_3,percentage_OBJ_3,time_OBJ_4,percentage_OBJ_4,time_NO_OBJ_1,percentage_NO_OBJ_1,time_NO_OBJ_2,percentage_NO_OBJ_2,time_NO_OBJ_3,percentage_NO_OBJ_3,time_NO_OBJ_4,percentage_NO_OBJ_4,time_NOVEL_1,percentage_NOVEL_1,time_NOVEL_2,percentage_NOVEL_2,time_FORMER_1,percentage_FORMER_1,time_FORMER_2,percentage_FORMER_2,time_SAME_1,percentage_SAME_1,time_SAME_2,percentage_SAME_2
t,R0G39T,salina,9153,151.0,1.6497323281984049,115.0,1.256418660548454,126.0,1.376597836774828,466.0,5.091226920135475,2962.0,32.3609745438654,822.0,8.98066207800721,3673.0,40.12891947995193,818.0,8.936960559379438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R0G68T,muscimol,9092,308.0,3.3875934887813464,10.0,0.10998680158380994,429.0,4.718433787945447,72.0,0.7919049714034315,561.0,6.170259568851738,7620.0,83.80994280686318,8.0,0.08798944126704795,113.0,1.2428508578970523,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R1G42T,salina,9153,322.0,3.517972249535671,21.0,0.22943297279580466,95.0,1.0379110674095926,89.0,0.972358789467934,1445.0,15.787173604282748,6635.0,72.48989402381733,57.0,0.6227466404457556,467.0,5.102152299792418,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R1G43T,muscimol,9153,230.0,2.512837321096908,8.0,0.08740303725554463,8741.0,95.49874358133945,115.0,1.256418660548454,2.0,0.021850759313886157,4.0,0.043701518627772315,0.0,0.0,45.0,0.4916420845624385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R1G45T,muscimol,9153,50.0,0.546268982847154,166.0,1.8136130230525511,1125.0,12.291052114060964,700.0,7.647765759860155,610.0,6.664481590735279,765.0,8.357915437561456,4598.0,50.23489566262428,1086.0,11.864962307440184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R1G65T,salina,9092,674.0,7.41311042674879,254.0,2.7936647602287725,1285.0,14.133304003519578,999.0,10.987681478222614,125.0,1.3748350197976242,3376.0,37.13154421469424,1212.0,13.330400351957767,1222.0,13.440387153541575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R1G68T,muscimol,9092,0.0,0.0,93.0,1.0228772547294325,70.0,0.7699076110866696,44.0,0.4839419269687638,529.0,5.818301803783546,169.0,1.858776946766388,7659.0,84.23889133304003,523.0,5.75230972283326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R2G0T,muscimol,9153,613.0,6.6972577297061076,1158.0,12.651589642740085,895.0,9.778214792964055,1099.0,12.006992242980443,1652.0,18.04872719326997,1285.0,14.039112859171857,853.0,9.319348847372448,1571.0,17.163771441057577,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R2G39T,salina,9153,0.0,0.0,0.0,0.0,4.0,0.043701518627772315,0.0,0.0,40.0,0.4370151862777232,9101.0,99.43188025783896,8.0,0.08740303725554463,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R2G45T,salina,9152,839.0,9.167395104895105,97.0,1.0598776223776225,1014.0,11.079545454545455,598.0,6.534090909090909,822.0,8.981643356643357,448.0,4.895104895104895,603.0,6.588723776223776,4639.0,50.68837412587413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R2G65T,salina,9092,216.0,2.375714914210295,514.0,5.653321601407831,272.0,2.9916410030796303,546.0,6.005279366476023,2628.0,28.904531456225254,766.0,8.424989001319842,1197.0,13.165420149582049,2929.0,32.21513418389793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R2G66T,muscimol,9157,329.0,3.5928797641148846,511.0,5.5804302719231185,369.0,4.029704051545266,1067.0,11.652287867205418,3859.0,42.142623129846015,960.0,10.483782898329148,47.0,0.5132685377306978,1960.0,21.404390084088675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R2G67T,muscimol,9092,756.0,8.31500219973603,202.0,2.2217333919929607,150.0,1.6498020237571493,308.0,3.3875934887813464,765.0,8.41399032116146,799.0,8.787945446546415,147.0,1.616805983282006,5957.0,65.51913770347558,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R3G0T,salina,9152,1481.0,16.182255244755243,183.0,1.999562937062937,5897.0,64.4340034965035,347.0,3.791520979020979,331.0,3.616695804195804,142.0,1.5515734265734267,252.0,2.7534965034965038,615.0,6.7198426573426575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R3G45T,muscimol,9152,102.0,1.1145104895104896,715.0,7.8125,0.0,0.0,0.0,0.0,2.0,0.021853146853146852,2.0,0.021853146853146852,10.0,0.10926573426573427,8372.0,91.47727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R3G64T,salina,9091,780.0,8.57991420085799,37.0,0.40699593004069956,589.0,6.478935210647893,18.0,0.1979980200197998,568.0,6.247937520624794,2639.0,29.028709712902874,3786.0,41.64558354416456,642.0,7.061929380706193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R3G65T,muscimol,9092,346.0,3.805543334799824,2.0,0.02199736031676199,650.0,7.149142102947646,246.0,2.7056753189617244,218.0,2.397712274527057,7184.0,79.01451825780906,182.0,2.001759788825341,149.0,1.638803343598768,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R3G66T,salina,9092,267.0,2.9366476022877253,1187.0,13.05543334799824,211.0,2.32072151341839,322.0,3.54157501099868,1249.0,13.737351517817862,523.0,5.75230972283326,2192.0,24.10910690717114,3041.0,33.446986361636604,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R3G67T,salina,9091,811.0,8.92091079089209,1392.0,15.311846881531185,742.0,8.161918380816193,619.0,6.808931910680894,505.0,5.554944450555494,727.0,7.996920030799693,2359.0,25.948740512594874,1966.0,21.62578374216258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R3G68T,salina,9092,451.0,4.960404751429828,359.0,3.948526176858777,543.0,5.9722833260008805,879.0,9.667839859216894,800.0,8.798944126704795,1365.0,15.013198416190058,1685.0,18.532776066871975,2978.0,32.7540695116586,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R4G64T,salina,9092,480.0,5.279366476022878,566.0,6.225252969643643,95.0,1.0448746150461945,359.0,3.948526176858777,1037.0,11.405631324241092,1533.0,16.860976682798064,1295.0,14.243290805103387,3741.0,41.146062472503296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R4G65T,muscimol,9092,560.0,6.159260888693357,68.0,0.7479102507699076,124.0,1.3638363396392434,52.0,0.5719313682358117,7138.0,78.50857897052353,110.0,1.2098548174219093,585.0,6.434227892652881,402.0,4.421469423669159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
