session,video,group,rearing_count_dir_FORMER_2,rearing_duration_dir_FORMER_2,time_dir_FORMER_2,rearing_frequency_dir_FORMER_2,rearing_count_dir_B2,rearing_duration_dir_B2,time_dir_B2,rearing_frequency_dir_B2,rearing_count_dir_OBJ_3,rearing_duration_dir_OBJ_3,time_dir_OBJ_3,rearing_frequency_dir_OBJ_3,rearing_count_dir_NOVEL_1,rearing_duration_dir_NOVEL_1,time_dir_NOVEL_1,rearing_frequency_dir_NOVEL_1,rearing_count_dir_A2,rearing_duration_dir_A2,time_dir_A2,rearing_frequency_dir_A2,rearing_count_dir_SAME_2,rearing_duration_dir_SAME_2,time_dir_SAME_2,rearing_frequency_dir_SAME_2,rearing_count_dir_OBJ_2,rearing_duration_dir_OBJ_2,time_dir_OBJ_2,rearing_frequency_dir_OBJ_2,rearing_count_dir_NOVEL_2,rearing_duration_dir_NOVEL_2,time_dir_NOVEL_2,rearing_frequency_dir_NOVEL_2,rearing_count_dir_NO_OBJ_3,rearing_duration_dir_NO_OBJ_3,time_dir_NO_OBJ_3,rearing_frequency_dir_NO_OBJ_3,rearing_count_dir_SAME_1,rearing_duration_dir_SAME_1,time_dir_SAME_1,rearing_frequency_dir_SAME_1,rearing_count_dir_NO_OBJ_4,rearing_duration_dir_NO_OBJ_4,time_dir_NO_OBJ_4,rearing_frequency_dir_NO_OBJ_4,rearing_count_dir_NO_OBJ_1,rearing_duration_dir_NO_OBJ_1,time_dir_NO_OBJ_1,rearing_frequency_dir_NO_OBJ_1,rearing_count_dir_FORMER_1,rearing_duration_dir_FORMER_1,time_dir_FORMER_1,rearing_frequency_dir_FORMER_1,rearing_count_dir_NEVER_2,rearing_duration_dir_NEVER_2,time_dir_NEVER_2,rearing_frequency_dir_NEVER_2,rearing_count_dir_NEVER_3,rearing_duration_dir_NEVER_3,time_dir_NEVER_3,rearing_frequency_dir_NEVER_3,rearing_count_dir_A1,rearing_duration_dir_A1,time_dir_A1,rearing_frequency_dir_A1,rearing_count_dir_B1,rearing_duration_dir_B1,time_dir_B1,rearing_frequency_dir_B1,rearing_count_dir_NEVER_1,rearing_duration_dir_NEVER_1,time_dir_NEVER_1,rearing_frequency_dir_NEVER_1,rearing_count_dir_NO_OBJ_2,rearing_duration_dir_NO_OBJ_2,time_dir_NO_OBJ_2,rearing_frequency_dir_NO_OBJ_2,rearing_count_dir_OBJ_4,rearing_duration_dir_OBJ_4,time_dir_OBJ_4,rearing_frequency_dir_OBJ_4,rearing_count_dir_OBJ_1,rearing_duration_dir_OBJ_1,time_dir_OBJ_1,rearing_frequency_dir_OBJ_1,rearing_count_dir_FORMER,rearing_duration_dir_FORMER,time_dir_FORMER,rearing_frequency_dir_FORMER
t,R0G39T,salina,0,0,0,0.0,0,0,2270,0.0,0,0,0,0.0,0,0,0,0.0,10,10,2641,0.003786444528587656,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,10,10,2381,0.004199916001679967,0,0,1950,0.0,18,18,2429,0.007410456978180321,0,0,2185,0.0,22,22,2216,0.009927797833935019,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1441,0.0
t,R0G68T,muscimol,0,0,0,0.0,40,40,2666,0.015003750937734433,0,0,0,0.0,0,0,0,0.0,0,0,417,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,418,0.0,10,10,941,0.010626992561105207,0,0,711,0.0,9,9,606,0.01485148514851485,4,4,426,0.009389671361502348,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,13,13,339,0.038348082595870206
t,R1G42T,salina,0,0,0,0.0,0,0,3338,0.0,0,0,0,0.0,0,0,0,0.0,0,0,3856,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,3676,0.0,0,0,3164,0.0,0,0,2789,0.0,0,0,2403,0.0,8,8,1273,0.006284367635506678,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,3729,0.0
t,R1G43T,muscimol,0,0,0,0.0,0,0,6513,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1944,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,416,0.0,0,0,7372,0.0,0,0,6659,0.0,0,0,168,0.0,0,0,4035,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,2214,0.0
t,R1G45T,muscimol,0,0,0,0.0,14,14,2601,0.005382545174932718,0,0,0,0.0,0,0,0,0.0,0,0,2590,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,20,20,2033,0.009837678307919331,12,12,2652,0.004524886877828055,8,8,2725,0.0029357798165137615,0,0,2114,0.0,12,12,2862,0.0041928721174004195,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,6,6,2938,0.0020422055820285907
t,R1G65T,salina,0,0,0,0.0,35,35,2299,0.015224010439321443,0,0,0,0.0,0,0,0,0.0,27,27,4250,0.006352941176470588,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,27,27,3615,0.007468879668049793,10,10,1955,0.005115089514066497,8,8,2135,0.003747072599531616,6,6,2044,0.0029354207436399216,46,46,2718,0.01692420897718911,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,50,50,4088,0.01223091976516634
t,R1G68T,muscimol,0,0,0,0.0,0,0,4074,0.0,0,0,0,0.0,0,0,0,0.0,0,0,5011,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,807,0.0,0,0,5117,0.0,0,0,4144,0.0,0,0,1943,0.0,0,0,2914,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,2095,0.0
t,R2G0T,muscimol,0,0,0,0.0,0,0,2398,0.0,0,0,0,0.0,0,0,0,0.0,2,2,2800,0.0007142857142857143,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1685,0.0,3,3,2659,0.0011282437006393381,8,8,2606,0.0030698388334612432,16,16,2192,0.0072992700729927005,22,22,2103,0.010461245839277223,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1581,0.0
t,R2G39T,salina,0,0,0,0.0,0,0,7926,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8571,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1048,0.0,0,0,8686,0.0,0,0,4878,0.0,0,0,68,0.0,0,0,74,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,4743,0.0
t,R2G45T,salina,0,0,0,0.0,5,5,4818,0.0010377750103777502,0,0,0,0.0,0,0,0,0.0,0,0,1637,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,17,17,1855,0.009164420485175202,0,0,1085,0.0,20,20,1966,0.01017293997965412,8,8,2769,0.00288912964969303,0,0,1654,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,13,13,4792,0.002712854757929883
