rat_id,group,session,trajectory_length,unique_locations,spatial_spread,path_efficiency,area_coverage,revisit_ratio
R0G39,saline,S1,7605.385642762967,714,28.674419124183686,0.014747226912489001,44330.32203207004,0.9219842657342657
R0G39,saline,S2,7291.136996962784,657,33.8026183913735,0.015299566157208053,45000.67668015306,0.928220255653884
R0G39,saline,T,6723.398884966635,560,25.661830881434884,0.016244209395606952,43773.37026278936,0.9388178739211188
R0G68,muscimol,S1,18354.04799132172,303,15.400832719513392,0.005757619712544666,48626.63410853075,0.9666739991201055
R0G68,muscimol,S2,6119.177002872387,511,27.372780413877365,0.04002050161971062,50456.80756046465,0.9432726465364121
R0G68,muscimol,T,4917.659114308688,273,14.760340191510283,0.028110157191625972,26865.849103105058,0.9699736031676199
R1G42,saline,S1,10838.76080997349,1007,36.290734682827484,0.009404585166638087,61047.76633252536,0.8899814268545831
R1G42,saline,S2,9056.431333621756,826,25.939331469151742,0.010682574825108712,49990.93654652605,0.9097563640336501
R1G42,saline,T,4989.439093716037,397,22.926316041611834,0.04908810666069455,40477.983823026545,0.9566167631952792
R1G43,muscimol,S1,8709.347594783565,736,24.54734262864279,0.01790800517140694,53926.95991843916,0.9195716315156813
R1G43,muscimol,S2,3401.554619943643,314,16.621528713726246,0.02905685101886106,40456.49278499532,0.9656943078771987
R1G43,muscimol,T,2060.1814505811576,95,14.516527539354174,0.005215100614236003,7562.5916231677975,0.9895050817498895
R1G45,muscimol,S1,11491.761729520587,876,34.86269705134238,0.009254422513868646,54041.946231198526,0.9042936742051786
R1G45,muscimol,S2,6550.118537297696,682,36.0330731639113,0.0072339244492945305,48549.523563441064,0.9254807692307693
R1G45,muscimol,T,6336.025761826149,601,32.03769537261414,0.027854278572480334,49046.83385681741,0.9343384682617721
R1G65,saline,S1,10907.790046695904,850,24.14557913335657,0.024214923129182615,66135.41068280663,0.9057440674207141
R1G65,saline,S2,48388.21075284438,650,28.62823677169439,5.803527825370112e-05,64595.26903581362,0.9285085789705235
R1G65,saline,T,40867.480223405364,698,18.51665208333194,0.004735153270363354,64134.721820177394,0.9232292124945006
R1G68,muscimol,S1,6004.090404163018,512,20.754982804151616,0.006281418749744909,45887.030257021244,0.9431490117699312
R1G68,muscimol,S2,6034.6831267620855,387,21.18760955727932,0.014853164983174143,44020.11941950267,0.9574351077870655
R1G68,muscimol,T,5152.307624659066,306,17.602460076856584,0.04324156872448163,44549.432586420306,0.9660753880266075
R2G0,muscimol,S1,10752.355928211238,923,37.240032792029496,0.016061474715562428,56064.895922260075,0.8985602813495989
R2G0,muscimol,S2,11606.02919395449,1141,31.200193362384983,0.009581999799577053,60428.60529155438,0.8752460091843429
R2G0,muscimol,T,11860.773640713665,1079,33.094525432121394,0.009692079094271736,59792.51649866448,0.8813242410910691
R2G39,saline,S2,3426.569656146445,196,23.25063133308823,0.043815653248613175,20653.08474164749,0.9777550788786744
R2G39,saline,T,1455.1392239472652,43,11.96881488503728,0.09721763379265398,3165.037035366274,0.9953020867475145
R2G45,saline,S1,10327.221213850935,854,29.68148339898909,0.010685703548893553,62989.51543287985,0.9066870629370629
R2G45,saline,S2,5447.5048241181175,393,18.867009162188754,0.01745523574938529,41757.967928064296,0.9570632579482137
R2G45,saline,T,7029.3110147916595,683,32.06066390149189,0.0017793291486610848,56335.38693900656,0.9253551912568306
