session,video,group,rearing_count_A1,rearing_duration_A1,time_A1,rearing_frequency_A1,rearing_count_A2,rearing_duration_A2,time_A2,rearing_frequency_A2,rearing_count_B1,rearing_duration_B1,time_B1,rearing_frequency_B1,rearing_count_B2,rearing_duration_B2,time_B2,rearing_frequency_B2,rearing_count_FORMER,rearing_duration_FORMER,time_FORMER,rearing_frequency_FORMER,rearing_count_NEVER_1,rearing_duration_NEVER_1,time_NEVER_1,rearing_frequency_NEVER_1,rearing_count_NEVER_2,rearing_duration_NEVER_2,time_NEVER_2,rearing_frequency_NEVER_2,rearing_count_NEVER_3,rearing_duration_NEVER_3,time_NEVER_3,rearing_frequency_NEVER_3,rearing_count_OBJ_1,rearing_duration_OBJ_1,time_OBJ_1,rearing_frequency_OBJ_1,rearing_count_OBJ_2,rearing_duration_OBJ_2,time_OBJ_2,rearing_frequency_OBJ_2,rearing_count_OBJ_3,rearing_duration_OBJ_3,time_OBJ_3,rearing_frequency_OBJ_3,rearing_count_OBJ_4,rearing_duration_OBJ_4,time_OBJ_4,rearing_frequency_OBJ_4,rearing_count_NO_OBJ_1,rearing_duration_NO_OBJ_1,time_NO_OBJ_1,rearing_frequency_NO_OBJ_1,rearing_count_NO_OBJ_2,rearing_duration_NO_OBJ_2,time_NO_OBJ_2,rearing_frequency_NO_OBJ_2,rearing_count_NO_OBJ_3,rearing_duration_NO_OBJ_3,time_NO_OBJ_3,rearing_frequency_NO_OBJ_3,rearing_count_NO_OBJ_4,rearing_duration_NO_OBJ_4,time_NO_OBJ_4,rearing_frequency_NO_OBJ_4,rearing_count_NOVEL_1,rearing_duration_NOVEL_1,time_NOVEL_1,rearing_frequency_NOVEL_1,rearing_count_NOVEL_2,rearing_duration_NOVEL_2,time_NOVEL_2,rearing_frequency_NOVEL_2,rearing_count_FORMER_1,rearing_duration_FORMER_1,time_FORMER_1,rearing_frequency_FORMER_1,rearing_count_FORMER_2,rearing_duration_FORMER_2,time_FORMER_2,rearing_frequency_FORMER_2,rearing_count_SAME_1,rearing_duration_SAME_1,time_SAME_1,rearing_frequency_SAME_1,rearing_count_SAME_2,rearing_duration_SAME_2,time_SAME_2,rearing_frequency_SAME_2
t,R0G39T,salina,0.0,0.0,151.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,126.0,0.0,3.0,3.0,466.0,0.006437768240343348,0.0,0.0,2962.0,0.0,32.0,32.0,822.0,0.038929440389294405,6.0,6.0,3673.0,0.0016335420637081405,10.0,10.0,818.0,0.012224938875305624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R0G68T,muscimol,16.0,16.0,308.0,0.05194805194805195,0.0,0.0,10.0,0.0,18.0,18.0,429.0,0.04195804195804196,0.0,0.0,72.0,0.0,39.0,39.0,561.0,0.06951871657754011,96.0,96.0,7620.0,0.012598425196850394,0.0,0.0,8.0,0.0,12.0,12.0,113.0,0.10619469026548672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R1G42T,salina,9.0,9.0,322.0,0.027950310559006212,0.0,0.0,21.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,1445.0,0.0,6.0,6.0,6635.0,0.000904295403165034,0.0,0.0,57.0,0.0,0.0,0.0,467.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R1G43T,muscimol,0.0,0.0,230.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8741.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R1G45T,muscimol,2.0,2.0,50.0,0.04,0.0,0.0,166.0,0.0,24.0,24.0,1125.0,0.021333333333333333,10.0,10.0,700.0,0.014285714285714285,31.0,31.0,610.0,0.05081967213114754,29.0,29.0,765.0,0.03790849673202614,100.0,100.0,4598.0,0.02174858634188778,52.0,52.0,1086.0,0.04788213627992634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R1G65T,salina,0.0,0.0,674.0,0.0,0.0,0.0,254.0,0.0,23.0,23.0,1285.0,0.0178988326848249,26.0,26.0,999.0,0.026026026026026026,0.0,0.0,125.0,0.0,10.0,10.0,3376.0,0.002962085308056872,7.0,7.0,1212.0,0.005775577557755775,10.0,10.0,1222.0,0.008183306055646482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R1G68T,muscimol,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,529.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,7659.0,0.0,0.0,0.0,523.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R2G0T,muscimol,7.0,7.0,613.0,0.011419249592169658,35.0,35.0,1158.0,0.030224525043177894,26.0,26.0,895.0,0.02905027932960894,2.0,2.0,1099.0,0.0018198362147406734,47.0,47.0,1652.0,0.028450363196125907,1.0,1.0,1285.0,0.0007782101167315176,0.0,0.0,853.0,0.0,20.0,20.0,1571.0,0.012730744748567792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R2G39T,salina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,9101.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,R2G45T,salina,27.0,27.0,839.0,0.03218116805721097,0.0,0.0,97.0,0.0,0.0,0.0,1014.0,0.0,12.0,12.0,598.0,0.020066889632107024,23.0,23.0,822.0,0.027980535279805353,1.0,1.0,448.0,0.002232142857142857,0.0,0.0,603.0,0.0,23.0,23.0,4639.0,0.00495796507868075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
