session,video,group,total_frames,total_duration,rearing_count,rearing_frequency,rearing_duration,mean_rearing_duration,max_rearing_duration,rearing_episodes_count
t,R0G39T,salina,9153,9153,51,0.005571943625040971,51,5.1,18,10
t,R0G68T,muscimol,9092,9092,176,0.01935767707875055,176,7.04,50,25
t,R1G42T,salina,9153,9153,15,0.0016388069485414618,15,3.75,7,4
t,R1G43T,muscimol,9153,9153,0,0.0,0,0.0,0,0
t,R1G45T,muscimol,9153,9153,248,0.027094941549218834,248,6.888888888888889,29,36
t,R1G65T,salina,9092,9092,75,0.008249010118785746,75,4.411764705882353,21,17
t,R1G68T,muscimol,9092,9092,0,0.0,0,0.0,0,0
t,R2G0T,muscimol,9153,9153,137,0.014967770130012019,137,3.7027027027027026,21,37
t,R2G39T,salina,9153,9153,0,0.0,0,0.0,0,0
t,R2G45T,salina,9152,9152,88,0.009615384615384616,88,3.3846153846153846,11,26
t,R2G65T,salina,9092,9092,262,0.028816542014958205,262,4.5964912280701755,29,57
t,R2G66T,muscimol,9157,9157,79,0.008627279676750027,79,4.388888888888889,11,18
t,R2G67T,muscimol,9092,9092,31,0.0034095908490981083,31,2.5833333333333335,10,12
t,R3G0T,salina,9152,9152,57,0.006228146853146853,57,5.7,24,10
t,R3G45T,muscimol,9152,9152,0,0.0,0,0.0,0,0
t,R3G64T,salina,9091,9091,48,0.0052799472005279945,48,3.4285714285714284,13,14
t,R3G65T,muscimol,9092,9092,12,0.0013198416190057193,12,6.0,8,2
t,R3G66T,salina,9092,9092,102,0.011218653761548614,102,5.666666666666667,43,18
t,R3G67T,salina,9091,9091,267,0.02936970630293697,267,4.45,40,60
t,R3G68T,salina,9092,9092,561,0.06170259568851738,561,6.032258064516129,61,93
t,R4G64T,salina,9092,9092,437,0.04806423229212495,437,5.531645569620253,39,79
t,R4G65T,muscimol,9092,9092,16,0.0017597888253409592,16,4.0,8,4
t,R4G66T,salina,9092,9092,70,0.007699076110866696,70,3.3333333333333335,22,21
t,R4G67T,salina,9093,9093,6,0.0006598482349059716,6,1.5,2,4
s1,R0G39S1,salina,9152,9152,524,0.05725524475524475,524,47.63636363636363,261,11
s1,R0G68S1,muscimol,9092,9092,239,0.026286845578530577,239,7.242424242424242,33,33
s1,R1G42S1,salina,9153,9153,1734,0.18944608325139298,1734,38.53333333333333,574,45
s1,R1G43S1,muscimol,9153,9153,835,0.0912269201354747,835,36.30434782608695,192,23
s1,R1G45S1,muscimol,9153,9153,812,0.0887140828143778,812,10.15,44,80
s1,R1G65S1,salina,9092,9092,1002,0.11020677518697757,1002,27.833333333333332,146,36
s1,R1G68S1,muscimol,9092,9092,167,0.018367795864496262,167,6.958333333333333,41,24
s1,R2G0S1,muscimol,9153,9153,412,0.045012564186605486,412,6.866666666666666,43,60
s1,R2G45S1,salina,9152,9152,934,0.10205419580419581,934,31.133333333333333,110,30
s1,R2G65S1,salina,9091,9091,1362,0.14981850181498185,1362,21.967741935483872,163,62
s1,R2G66S1,muscimol,9091,9091,598,0.06577934220657794,598,11.96,60,50
s1,R2G67S1,muscimol,9092,9092,779,0.08567971843378795,779,11.984615384615385,60,65
s1,R3G0S1,salina,9152,9152,509,0.055616258741258744,509,28.27777777777778,66,18
s1,R3G45S1,muscimol,9153,9153,202,0.022069266907025018,202,6.9655172413793105,33,29
s1,R3G64S1,salina,9092,9092,487,0.05356357237131544,487,15.21875,90,32
s1,R3G65S1,muscimol,9092,9092,304,0.03343598768147822,304,19.0,42,16
s1,R3G66S1,salina,9092,9092,612,0.06731192256929168,612,10.2,49,60
s1,R3G67S1,salina,9092,9092,584,0.06423229212494501,584,8.984615384615385,72,65
s1,R3G68S1,salina,9092,9092,1612,0.17729872415310163,1612,22.08219178082192,89,73
s1,R4G64S1,salina,9092,9092,1835,0.20182578090629125,1835,16.53153153153153,113,111
s1,R4G65S1,muscimol,9092,9092,341,0.03750549934007919,341,11.0,72,31
s1,R4G66S1,salina,9091,9091,1058,0.11637883621163789,1058,11.887640449438202,81,89
s1,R4G67S1,salina,9092,9092,330,0.03629564452265728,330,6.73469387755102,25,49
s2,R0G39S2,salina,9153,9153,893,0.0975636403365017,893,68.6923076923077,237,13
s2,R0G68S2,muscimol,9092,9092,709,0.07798064232292125,709,14.18,117,50
s2,R1G42S2,salina,9153,9153,544,0.059434065333770346,544,27.2,91,20
s2,R1G43S2,muscimol,9153,9153,162,0.017699115044247787,162,81.0,141,2
s2,R1G45S2,muscimol,9152,9152,170,0.018575174825174824,170,10.0,43,17
s2,R1G65S2,salina,9092,9092,246,0.027056753189617245,246,7.454545454545454,60,33
s2,R1G68S2,muscimol,9092,9092,92,0.010118785745710514,92,7.076923076923077,33,13
s2,R2G0S2,muscimol,9152,9152,315,0.034418706293706296,315,9.0,96,35
s2,R2G39S2,salina,9153,9153,3,0.00032776138970829236,3,1.5,2,2
s2,R2G45S2,salina,9153,9153,163,0.01780836884081722,163,6.791666666666667,21,24
s2,R2G65S2,salina,9091,9091,994,0.10933890661093389,994,14.835820895522389,98,67
s2,R2G66S2,muscimol,9091,9091,1589,0.17478825211747884,1589,27.87719298245614,101,57
s2,R2G67S2,muscimol,9092,9092,486,0.053453585569731635,486,18.0,46,27
s2,R3G0S2,salina,9153,9153,255,0.027859718125204852,255,6.891891891891892,43,37
s2,R3G45S2,muscimol,9153,9153,18,0.0019665683382497543,18,6.0,15,3
s2,R3G64S2,salina,9092,9092,98,0.010778706555213374,98,16.333333333333332,48,6
s2,R3G65S2,muscimol,9092,9092,145,0.015948086229652443,145,10.357142857142858,45,14
s2,R3G66S2,salina,9092,9092,402,0.044214694236691596,402,12.96774193548387,74,31
s2,R3G67S2,salina,9091,9091,920,0.1011989880101199,920,10.574712643678161,62,87
s2,R3G68S2,salina,9091,9091,1625,0.17874821251787482,1625,16.25,109,100
s2,R4G64S2,salina,9092,9092,1414,0.15552133743950725,1414,13.728155339805825,125,103
s2,R4G65S2,muscimol,9092,9092,262,0.028816542014958205,262,4.763636363636364,31,55
s2,R4G66S2,salina,9092,9092,615,0.06764188297404311,615,26.73913043478261,131,23
s2,R4G67S2,salina,9092,9092,218,0.023977122745270567,218,7.517241379310345,48,29
