ANIMAL;GRUPO;FREQ_MIN_1;DUR_MIN_1;FREQ_MIN_3;DUR_MIN_3
R0G68S1;1;11;5,90000000000002;21;9,1333333333334
R1G42S1;0;0;0;18;22,1333333333333
R1G43S1;1;7;16,3;14;25,4666666666667
R1G45S1;1;7;4,59999999999999;28;18,5333333333334
R1G65S1;0;3;5,23333333333333;18;23,8333333333333
R2G45S1;0;6;9,33333333333334;18;29,5
R2G65S1;0;3;5;21;19,4333333333332
R2G67S1;1;10;6,60000000000001;32;19,5333333333334
R3G0S1;0;4;6,49999999999999;12;17,4666666666667
R3G45S1;1;3;2,46666666666667;8;2,89999999999999
R3G64S1;0;5;1,26666666666666;16;5,56666666666673
R3G65S1;1;6;4,43333333333335;10;8,0666666666667
R3G66S1;0;8;4,9;15;10,6
R3G67S1;0;7;1,53333333333333;23;10,6999999999999
R3G68S1;0;7;7,1;24;28,1333333333333
R4G64S1;0;9;9,39999999999998;31;31,6999999999999
R4G65S1;1;4;2,26666666666668;17;10,6333333333334
R4G66S1;0;9;6,5;26;20,9333333333333
