ANIMAL;GRUPO;FORMER_1_FREQ_MIN_1;FORMER_1_DUR_MIN_1;FORMER_2_FREQ_MIN_1;FORMER_2_DUR_MIN_1;NEVER_1_FREQ_MIN_1;NEVER_1_DUR_MIN_1;NOVEL_1_FREQ_MIN_1;NOVEL_1_DUR_MIN_1;NOVEL_2_FREQ_MIN_1;NOVEL_2_DUR_MIN_1;SAME_1_FREQ_MIN_1;SAME_1_DUR_MIN_1;SAME_2_FREQ_MIN_1;SAME_2_DUR_MIN_1;NEVER_2_FREQ_MIN_1;NEVER_2_DUR_MIN_1;FORMER_1_FREQ_MIN_3;FORMER_1_DUR_MIN_3;FORMER_2_FREQ_MIN_3;FORMER_2_DUR_MIN_3;NEVER_1_FREQ_MIN_3;NEVER_1_DUR_MIN_3;NOVEL_1_FREQ_MIN_3;NOVEL_1_DUR_MIN_3;NOVEL_2_FREQ_MIN_3;NOVEL_2_DUR_MIN_3;SAME_1_FREQ_MIN_3;SAME_1_DUR_MIN_3;SAME_2_FREQ_MIN_3;SAME_2_DUR_MIN_3;NEVER_2_FREQ_MIN_3;NEVER_2_DUR_MIN_3;FORMER_AVG_DUR_MIN_1;FORMER_AVG_FREQ_MIN_1;NEVER_AVG_DUR_MIN_1;NEVER_AVG_FREQ_MIN_1;NOVEL_AVG_DUR_MIN_1;NOVEL_AVG_FREQ_MIN_1;SAME_AVG_DUR_MIN_1;SAME_AVG_FREQ_MIN_1;FORMER_AVG_DUR_MIN_3;FORMER_AVG_FREQ_MIN_3;NEVER_AVG_DUR_MIN_3;NEVER_AVG_FREQ_MIN_3;NOVEL_AVG_DUR_MIN_3;NOVEL_AVG_FREQ_MIN_3;SAME_AVG_DUR_MIN_3;SAME_AVG_FREQ_MIN_3
R0G68S2;1;0;0;4;2,86666666666667;2;,966666666666665;0;0;1;,533333333333331;0;0;3;,63333333333334;1;,566666666666663;6;3,93333333333334;5;3,36666666666667;12;11,8666666666666;4;2,46666666666667;1;,533333333333331;0;0;3;,63333333333334;3;,700000000000031;1,43333333333333;2;,766666666666664;1,5;,266666666666666;,5;,31666666666667;1,5;3,65;5,5;6,2833333333333;7,5;1,5;2,5;,31666666666667;1,5
R1G42S2;0;0;0;0;0;1;,43333333333333;1;1,36666666666667;0;0;1;2,06666666666667;1;2,36666666666667;0;0;0;0;1;1,36666666666667;2;3,46666666666666;1;1,36666666666667;0;0;2;4,16666666666666;4;6,13333333333329;0;0;0;0;,216666666666665;,5;,683333333333334;,5;2,21666666666667;1;,683333333333337;,5;1,73333333333333;1;,683333333333334;,5;5,14999999999998;3
R1G43S2;1;0;0;2;2,9;0;0;1;,06666666666667;1;2,43333333333334;0;0;0;0;0;0;0;0;2;2,9;0;0;1;,06666666666667;1;2,43333333333334;0;0;0;0;0;0;1,45;1;0;0;1,25000000000001;1;0;0;1,45;1;0;0;1,25000000000001;1;0;0
R1G45S2;1;0;0;1;,833333333333336;0;0;1;,06666666666667;0;0;0;0;0;0;0;0;3;2,06666666666665;2;1,53333333333334;1;,0666666666666913;3;,633333333333333;0;0;0;0;2;,666666666666686;4;,86666666666666;,416666666666668;,5;0;0;,033333333333335;,5;0;0;1,79999999999999;2,5;,466666666666676;2,5;,316666666666666;1,5;,333333333333343;1
R1G65S2;0;0;0;0;0;0;0;0;0;1;,599999999999998;3;,399999999999999;0;0;1;,033333333333335;0;0;2;,133333333333312;0;0;3;1,80000000000003;1;,599999999999998;3;,399999999999999;4;1,23333333333335;3;2,3;0;0;,0166666666666675;,5;,299999999999999;,5;,199999999999999;1,5;,0666666666666558;1;1,15;1,5;1,20000000000001;2;,816666666666674;3,5
R2G39S2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;,0333333333333314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;,0333333333333314;0;0;0;0;0;0;0;0;,0166666666666657;,5;0;0;0;0;0;0;,0166666666666657;,5
R2G45S2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2,03333333333335;1;1,03333333333335;0;0;0;0;0;0;0;0;0;0;1;,233333333333334;7;2,2666666666667;0;0;1,01666666666668;2;0;0;0;0;,516666666666673;,5;1,13333333333335;3,5;0;0;,116666666666667;,5
R2G65S2;0;2;2,33333333333334;2;1,3;1;,666666666666668;0;0;1;,200000000000003;0;0;2;,133333333333334;1;1,86666666666667;7;5,46666666666662;5;3,16666666666667;3;4,66666666666667;2;,100000000000023;1;,200000000000003;6;3,79999999999998;4;1,23333333333334;1;1,86666666666667;1,81666666666667;2;1,26666666666667;1;,100000000000001;,5;,0666666666666669;1;4,31666666666665;6;3,26666666666667;2;,150000000000013;1,5;2,51666666666666;5
R2G67S2;1;1;,0666666666666664;1;,833333333333329;0;0;1;,0333333333333385;2;,633333333333336;1;1,4;1;,366666666666667;1;1,1;2;,266666666666655;1;,833333333333329;1;1,53333333333333;2;1,56666666666667;4;2,13333333333334;3;2,4;2;1,86666666666667;2;4,06666666666667;,449999999999998;1;,550000000000001;,5;,333333333333337;1,5;,883333333333335;1;,549999999999992;1,5;2,8;1,5;1,85;3;2,13333333333333;2,5
R3G0S2;0;0;0;0;0;0;0;2;,266666666666673;0;0;0;0;1;,0666666666666629;0;0;0;0;0;0;0;0;2;,266666666666673;0;0;4;,866666666666688;7;3,29999999999995;0;0;0;0;0;0;,133333333333336;1;,0333333333333314;,5;0;0;0;0;,133333333333336;1;2,08333333333332;5,5
R3G64S2;0;0;0;1;1,03333333333332;0;0;0;0;0;0;0;0;0;0;0;0;1;,166666666666657;1;1,03333333333332;2;,633333333333326;0;0;0;0;0;0;1;,0999999999999943;1;1,36666666666666;,516666666666662;,5;0;0;0;0;0;0;,599999999999991;1;,999999999999993;1,5;0;0;,0499999999999972;,5
R3G65S2;1;0;0;0;0;1;,233333333333334;0;0;1;1,5;0;0;1;,0666666666666667;0;0;0;0;0;0;1;,233333333333334;0;0;1;1,5;2;,666666666666671;2;,366666666666664;2;2,36666666666665;0;0;,116666666666667;,5;,75;,5;,0333333333333333;,5;0;0;1,29999999999999;1,5;,75;,5;,516666666666668;2
R3G66S2;0;0;0;0;0;0;0;0;0;1;,100000000000001;0;0;0;0;2;2,53333333333333;1;,966666666666669;2;,73333333333332;1;,200000000000003;1;,533333333333346;1;,100000000000001;1;,0333333333333314;0;0;6;5,09999999999997;0;0;1,26666666666667;1;,0500000000000007;,5;0;0;,849999999999994;1,5;2,64999999999998;3,5;,316666666666674;1;,0166666666666657;,5
R3G67S2;0;0;0;0;0;2;,433333333333344;0;0;2;,533333333333324;1;,033333333333335;5;2,96666666666668;2;,400000000000002;5;5,73333333333331;3;,93333333333333;3;1,49999999999998;3;,700000000000003;5;2,09999999999999;3;,833333333333332;15;11,3666666666667;4;2,43333333333332;0;0;,416666666666673;2;,266666666666662;1;1,50000000000001;3;3,33333333333332;4;1,96666666666665;3,5;1,4;4;6,10000000000002;9
R3G68S2;0;1;,9;1;,233333333333331;3;2,53333333333333;0;0;0;0;1;,966666666666672;0;0;1;,199999999999999;12;8,06666666666664;3;1,99999999999998;6;6,7;3;,433333333333351;6;2,86666666666669;4;1,93333333333334;4;1,26666666666665;3;1,93333333333336;,566666666666666;1;1,36666666666666;2;0;0;,483333333333336;,5;5,03333333333331;7,5;4,31666666666668;4,5;1,65000000000002;4,5;1,6;4
R4G64S2;0;1;1,66666666666667;3;2,16666666666666;0;0;0;0;2;,5;0;0;2;,699999999999999;0;0;3;1,76666666666669;4;2,2333333333333;1;1,5;1;,966666666666669;12;5,90000000000001;1;2,53333333333333;6;2,69999999999999;9;4,43333333333332;1,91666666666667;2;0;0;,25;1;,35;1;1,99999999999999;3,5;2,96666666666666;5;3,43333333333334;6,5;2,61666666666666;3,5
