ANIMAL;GRUPO;A1_FREQ_MIN_1;A1_DUR_MIN_1;A2_FREQ_MIN_1;A2_DUR_MIN_1;B1_FREQ_MIN_1;B1_DUR_MIN_1;B2_FREQ_MIN_1;B2_DUR_MIN_1;FORMER_FREQ_MIN_1;FORMER_DUR_MIN_1;NEVER_1_FREQ_MIN_1;NEVER_1_DUR_MIN_1;NEVER_2_FREQ_MIN_1;NEVER_2_DUR_MIN_1;NEVER_3_FREQ_MIN_1;NEVER_3_DUR_MIN_1;A1_FREQ_MIN_3;A1_DUR_MIN_3;A2_FREQ_MIN_3;A2_DUR_MIN_3;B1_FREQ_MIN_3;B1_DUR_MIN_3;B2_FREQ_MIN_3;B2_DUR_MIN_3;FORMER_FREQ_MIN_3;FORMER_DUR_MIN_3;NEVER_1_FREQ_MIN_3;NEVER_1_DUR_MIN_3;NEVER_2_FREQ_MIN_3;NEVER_2_DUR_MIN_3;NEVER_3_FREQ_MIN_3;NEVER_3_DUR_MIN_3;NEVER_AVG_DUR_MIN_1;NEVER_AVG_FREQ_MIN_1;NEVER_AVG_DUR_MIN_3;NEVER_AVG_FREQ_MIN_3
R0G68T;1;0;0;0;0;3;1,06666666666667;1;,599999999999998;4;,900000000000002;2;,36666666666666;0;0;0;0;0;0;0;0;3;1,06666666666667;3;1,1;4;,900000000000002;7;3,90000000000001;0;0;0;0;,12222222222222;,666666666666667;1,3;2,33333333333333
R1G42T;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R1G45T;1;0;0;0;0;0;0;0;0;1;,866666666666667;2;,266666666666666;1;1,66666666666666;0;0;1;,0666666666666771;0;0;0;0;0;0;1;,866666666666667;2;,266666666666666;2;3,03333333333333;3;,76666666666668;,644444444444441;1;1,35555555555556;2,33333333333333
R1G65T;0;0;0;0;0;0;0;0;0;1;,06666666666667;0;0;1;,0333333333333314;0;0;0;0;0;0;0;0;4;1,06666666666665;1;,06666666666667;0;0;2;,0999999999999943;0;0;,0111111111111105;,333333333333333;,0333333333333314;,666666666666667
R2G0T;1;1;,033333333333335;0;0;0;0;0;0;0;0;0;0;0;0;2;,166666666666657;3;,199999999999992;0;0;0;0;0;0;1;,400000000000006;0;0;0;0;2;,166666666666657;,0555555555555524;,666666666666667;,0555555555555524;,666666666666667
R2G45T;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;,233333333333348;0;0;1;,133333333333326;0;0;0;0;0;0;0;0;0;0
R2G65T;0;0;0;1;1,2;0;0;1;,0999999999999943;0;0;0;0;0;0;0;0;0;0;5;1,63333333333334;0;0;6;1,96666666666667;2;2,06666666666669;1;,0666666666666629;0;0;1;,0333333333333314;0;0;,0333333333333314;,666666666666667
R2G66T;1;0;0;0;0;0;0;0;0;1;,466666666666669;0;0;0;0;1;,433333333333337;0;0;0;0;0;0;0;0;4;1,8333333333333;0;0;0;0;1;,433333333333337;,144444444444446;,333333333333333;,144444444444446;,333333333333333
R2G67T;1;0;0;0;0;0;0;0;0;2;,86666666666666;0;0;0;0;0;0;1;,0333333333333385;0;0;0;0;1;,466666666666654;2;,86666666666666;0;0;0;0;2;,0666666666666629;0;0;,022222222222221;,666666666666667
R3G0T;0;0;0;0;0;0;0;1;,0333333333333337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;,0666666666666651;0;0;0;0;0;0;0;0;0;0;0;0
R3G64T;0;0;0;2;,466666666666669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;,466666666666669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R3G65T;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;,266666666666652;0;0;0;0;0;0;1;,133333333333326;0;0;0;0;,0444444444444419;,333333333333333
R3G66T;0;1;,06666666666667;0;0;0;0;0;0;2;,366666666666671;0;0;0;0;1;,100000000000001;1;,06666666666667;0;0;0;0;1;,966666666666683;2;,366666666666671;0;0;0;0;3;,466666666666676;,0333333333333338;,333333333333333;,155555555555559;1
R3G67T;0;1;,4;2;,166666666666664;3;,933333333333335;1;,333333333333339;0;0;1;,133333333333326;2;,233333333333338;1;,266666666666666;2;1,23333333333333;3;,266666666666673;3;,933333333333335;2;,366666666666671;0;0;3;,699999999999974;7;2,60000000000001;2;,666666666666671;,21111111111111;1,33333333333333;1,32222222222222;4
R3G68T;0;1;,399999999999999;0;0;0;0;0;0;0;0;2;,333333333333333;0;0;2;,0999999999999943;4;1,43333333333332;1;,0999999999999943;2;,166666666666671;1;,133333333333326;5;1,26666666666665;5;3,09999999999998;0;0;4;1,13333333333334;,144444444444442;1,33333333333333;1,41111111111111;3
R4G64T;0;0;0;2;,23333333333334;0;0;0;0;0;0;0;0;0;0;2;1,46666666666667;0;0;3;,499999999999991;5;3,9666666666667;2;,600000000000009;2;,76666666666668;6;1,43333333333328;2;2,46666666666664;5;1,90000000000005;,488888888888889;,666666666666667;1,93333333333332;4,33333333333333
R4G65T;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;,0666666666666913;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R4G66T;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;,100000000000001;1;,0333333333333172;0;0;0;0;0;0;0;0;4;1,66666666666666;0;0;2;,100000000000001;,0333333333333338;,666666666666667;,588888888888886;2
